Date,Price,Open,High,Low,Vol.,Change %
28-Jun-23,82.98,88.07,88.09,81.66,639.37K,-5.78%
27-Jun-23,88.07,87.19,89.37,86.95,470.38K,1.01%
26-Jun-23,87.19,88.22,90.23,86.12,656.58K,-1.17%
25-Jun-23,88.22,89.67,90.4,86.8,566.52K,-1.62%
24-Jun-23,89.67,91.27,93.71,86.7,834.19K,-1.75%
23-Jun-23,91.27,85.97,92.96,85.24,1.04M,6.16%
22-Jun-23,85.97,85.12,88.84,84.33,796.86K,1.00%
21-Jun-23,85.12,80.31,87.27,80.01,1.23M,5.99%
20-Jun-23,80.31,77.51,80.84,75.87,550.33K,3.61%
19-Jun-23,77.51,77.2,77.73,76.21,316.59K,0.40%
18-Jun-23,77.2,76.87,78.45,76.4,294.01K,0.43%
17-Jun-23,76.87,76.12,77.76,75.73,301.80K,0.99%
16-Jun-23,76.12,74.55,76.84,74.2,419.34K,2.01%
15-Jun-23,74.62,73.17,75.11,72.14,512.98K,1.98%
14-Jun-23,73.17,77.49,78.12,71.53,678.68K,-5.57%
13-Jun-23,77.49,77.5,79.53,76.34,560.57K,-0.01%
12-Jun-23,77.5,77.69,77.85,75.35,624.47K,-0.24%
11-Jun-23,77.69,77.17,78.95,76.18,601.30K,0.67%
10-Jun-23,77.17,89.29,89.33,74.86,1.93M,-13.57%
9-Jun-23,89.29,88.5,89.95,87.11,437.58K,0.89%
8-Jun-23,88.5,88.83,89.51,87.22,405.87K,-0.37%
7-Jun-23,88.83,90.92,91.2,87.5,691.67K,-2.30%
6-Jun-23,90.92,87.7,91.34,85.89,836.84K,3.67%
5-Jun-23,87.7,94.25,94.54,84.03,1.32M,-6.95%
4-Jun-23,94.25,96.02,96.47,94.1,492.50K,-1.84%
3-Jun-23,96.02,95.48,97.43,94.22,596.53K,0.57%
2-Jun-23,95.48,94.18,95.63,92.81,714.44K,1.38%
1-Jun-23,94.18,90.44,95.85,89.43,1.36M,4.12%
31-May-23,90.45,92.24,92.68,88.12,730.32K,-1.94%
30-May-23,92.24,90.86,93.3,90.57,553.23K,1.52%
29-May-23,90.86,91.46,92.16,90.23,484.97K,-0.66%
28-May-23,91.46,88.58,92.24,88.22,582.84K,3.25%
27-May-23,88.58,87.16,88.79,86.92,337.31K,1.63%
26-May-23,87.16,86.57,88.2,86.08,683.65K,0.54%
25-May-23,86.69,85.83,86.71,83,834.71K,1.00%
24-May-23,85.83,91.7,91.86,84.88,1.24M,-6.40%
23-May-23,91.7,90.83,93.09,90.42,437.56K,0.94%
22-May-23,90.85,92.22,92.79,89.92,462.68K,-1.49%
21-May-23,92.22,92.43,93.36,91.28,434.34K,-0.23%
20-May-23,92.43,91.8,92.75,90.65,332.30K,0.77%
19-May-23,91.72,90.38,93.28,90.29,674.21K,1.48%
18-May-23,90.38,93.87,94.16,89.31,778.95K,-3.64%
17-May-23,93.79,89.86,94.97,89.65,1.63M,4.37%
16-May-23,89.86,86.94,90.41,86.21,1.21M,3.36%
15-May-23,86.94,83.52,88.43,82.21,1.11M,4.09%
14-May-23,83.52,80.25,83.93,79.73,475.09K,4.07%
13-May-23,80.25,80.45,81.07,80.02,378.30K,-0.25%
12-May-23,80.45,80.88,81.46,77.49,770.90K,-0.53%
11-May-23,80.88,80.94,81.91,78.4,787.84K,-0.07%
10-May-23,80.94,79.88,82.02,77.5,862.78K,1.33%
9-May-23,79.88,77.78,80.06,77.31,652.68K,2.70%
8-May-23,77.78,83.44,85.17,75.86,1.09M,-6.78%
7-May-23,83.44,83.25,84.66,82.98,405.45K,0.23%
6-May-23,83.25,88.61,89.24,81.01,808.79K,-6.05%
5-May-23,88.61,88.37,89.64,86.75,462.78K,0.27%
4-May-23,88.37,88.87,89.15,87.48,317.22K,-0.56%
3-May-23,88.87,88.13,89.81,85.59,561.80K,0.84%
2-May-23,88.13,86.76,89.1,86.07,424.98K,1.58%
1-May-23,86.76,88.14,88.86,85.22,538.48K,-1.57%
30-Apr-23,88.14,91.06,91.38,87.92,395.84K,-3.21%
29-Apr-23,91.06,89.63,91.53,89.26,351.33K,1.60%
28-Apr-23,89.63,89.73,90.28,88.03,464.52K,-0.11%
27-Apr-23,89.73,88.12,90.59,87.52,669.48K,1.83%
26-Apr-23,88.12,91,93.96,84.63,985.51K,-3.16%
25-Apr-23,91,88.31,91.74,87.22,767.40K,3.05%
24-Apr-23,88.31,86.75,88.98,86.17,651.40K,1.77%
23-Apr-23,86.77,87,87.07,84.53,394.86K,-0.26%
22-Apr-23,87,85.33,87.13,84.81,413.35K,1.96%
21-Apr-23,85.33,90.18,90.81,84.62,811.75K,-5.38%
20-Apr-23,90.18,90.5,92.36,87.34,923.71K,-0.35%
19-Apr-23,90.5,101.78,101.88,88.95,1.26M,-11.07%
18-Apr-23,101.77,98.89,103.1,97.79,816.03K,2.97%
17-Apr-23,98.83,100.03,100.28,97.51,692.90K,-1.20%
16-Apr-23,100.03,96.66,102.04,95.1,902.41K,3.49%
15-Apr-23,96.66,96.34,97.29,94.75,343.20K,0.33%
14-Apr-23,96.34,94.19,98.88,93.76,1.04M,2.28%
13-Apr-23,94.19,92.07,94.53,91.7,607.45K,2.36%
12-Apr-23,92.02,94.23,94.65,90.95,713.64K,-2.35%
11-Apr-23,94.23,93.79,96.95,93.18,759.08K,0.47%
10-Apr-23,93.79,90.59,94.35,89.86,522.21K,3.53%
9-Apr-23,90.59,89.91,91.01,89.15,253.68K,0.76%
8-Apr-23,89.91,90.58,91.35,89.32,199.11K,-0.74%
7-Apr-23,90.58,90.97,91.47,89.23,301.55K,-0.43%
6-Apr-23,90.97,92.67,92.67,89.84,385.57K,-1.83%
5-Apr-23,92.67,92.53,94.95,91.19,690.27K,0.15%
4-Apr-23,92.53,92.98,93.98,91.59,505.40K,-0.48%
3-Apr-23,92.98,92.81,95.77,90.06,909.19K,0.18%
2-Apr-23,92.81,92.56,94.55,90.55,641.05K,0.27%
1-Apr-23,92.56,89.57,94.09,89.38,687.35K,3.34%
31-Mar-23,89.57,89.07,90.22,87.63,489.79K,0.56%
30-Mar-23,89.07,91.3,93.26,86.77,751.28K,-2.44%
29-Mar-23,91.3,89.08,92.95,88.98,709.00K,2.49%
28-Mar-23,89.08,89.22,89.55,85.66,881.91K,-0.16%
27-Mar-23,89.22,93.32,93.72,87.8,763.81K,-4.48%
26-Mar-23,93.4,91.52,94.79,90.64,588.28K,2.05%
25-Mar-23,91.52,93.6,93.97,90.03,685.11K,-2.22%
24-Mar-23,93.6,93.6,95.75,89.45,1.33M,-0.09%
23-Mar-23,93.68,87.25,94.46,85.6,1.87M,7.37%
22-Mar-23,87.25,82.43,88.07,79.41,1.76M,5.85%
21-Mar-23,82.43,78.02,83.42,76.88,906.64K,5.65%
20-Mar-23,78.02,83.92,84.28,77.78,942.45K,-6.98%
19-Mar-23,83.87,83.01,86.18,82.14,612.79K,1.04%
18-Mar-23,83.01,85.51,87.85,82.3,990.43K,-2.92%
17-Mar-23,85.51,78.86,85.51,78.2,935.08K,8.35%
16-Mar-23,78.92,76.35,79.75,75.64,792.57K,3.37%
15-Mar-23,76.35,84,85.4,75.21,1.32M,-9.11%
14-Mar-23,84,81.46,88.1,79.24,1.37M,3.07%
13-Mar-23,81.5,76.22,82.92,74.61,1.84M,6.93%
12-Mar-23,76.22,69.21,76.3,67.44,1.39M,10.11%
11-Mar-23,69.22,71.43,73.74,65.1,1.90M,-3.09%
10-Mar-23,71.43,76.71,76.81,68.41,1.96M,-6.92%
9-Mar-23,76.74,82.76,84.9,75.13,1.10M,-7.27%
8-Mar-23,82.76,86.29,86.65,81.7,626.05K,-4.09%
7-Mar-23,86.29,87.36,88.94,84.35,642.56K,-1.22%
6-Mar-23,87.36,89.93,90.6,86.71,628.92K,-2.86%
5-Mar-23,89.93,89.34,91.73,89.19,358.53K,0.66%
4-Mar-23,89.34,90.54,90.83,87.56,348.03K,-1.33%
3-Mar-23,90.54,95.34,95.42,86.12,934.00K,-5.03%
2-Mar-23,95.34,97.85,98.27,93.92,530.73K,-2.57%
1-Mar-23,97.85,93.79,98.19,93.64,578.27K,4.33%
28-Feb-23,93.79,94.07,95.99,93.1,380.29K,-0.30%
27-Feb-23,94.07,95.27,96.07,92.6,390.66K,-1.26%
26-Feb-23,95.27,93.16,95.52,92.79,343.66K,2.26%
25-Feb-23,93.16,91.58,93.47,90.62,426.38K,1.73%
24-Feb-23,91.58,94.58,95.21,90.17,501.50K,-3.17%
23-Feb-23,94.58,95.25,96.25,93.36,474.25K,-0.70%
22-Feb-23,95.25,93.81,95.5,91.73,693.30K,1.54%
21-Feb-23,93.81,95.92,96.76,91.77,739.57K,-2.20%
20-Feb-23,95.92,97.6,98.55,94.5,935.35K,-1.72%
19-Feb-23,97.6,99.72,101.47,96.95,433.84K,-2.13%
18-Feb-23,99.72,100.15,101.86,98.94,434.89K,-0.43%
17-Feb-23,100.15,98.54,101.59,98.29,569.62K,1.63%
16-Feb-23,98.54,102.85,105.25,98.51,687.33K,-4.19%
15-Feb-23,102.85,95.79,102.96,95.06,764.48K,7.37%
14-Feb-23,95.79,91.07,95.89,90.35,622.12K,5.18%
13-Feb-23,91.07,92.51,94.95,88.36,740.12K,-1.54%
12-Feb-23,92.49,94.29,94.57,91.13,306.63K,-1.91%
11-Feb-23,94.29,93.45,94.81,92.66,360.04K,0.90%
10-Feb-23,93.45,92.06,94.15,91.09,640.82K,1.51%
9-Feb-23,92.06,99.22,99.48,90.01,930.28K,-7.22%
8-Feb-23,99.22,100.87,102.3,96.94,559.84K,-1.64%
7-Feb-23,100.87,95.9,101.46,95.9,672.71K,5.18%
6-Feb-23,95.9,96.63,97.95,95.15,371.48K,-0.76%
5-Feb-23,96.63,98.5,98.88,94.94,417.62K,-1.87%
4-Feb-23,98.47,99.87,101.33,98.25,357.02K,-1.40%
3-Feb-23,99.87,98.46,100.73,97.52,570.02K,1.43%
2-Feb-23,98.46,100.33,102.11,97.99,729.49K,-1.86%
1-Feb-23,100.33,94.14,102.4,93.78,1.33M,6.58%
31-Jan-23,94.14,91.26,96.26,91.26,1.05M,3.16%
30-Jan-23,91.26,94.88,95.97,89.01,986.47K,-3.82%
29-Jan-23,94.88,89.67,97.53,89.67,1.27M,5.81%
28-Jan-23,89.67,88.9,89.9,87.16,392.05K,0.85%
27-Jan-23,88.91,87.58,89.21,85.82,418.64K,1.52%
26-Jan-23,87.58,89.34,89.92,86.9,476.01K,-1.97%
25-Jan-23,89.34,87.23,91.86,85.56,529.32K,2.40%
24-Jan-23,87.25,89.86,91.28,86.1,500.07K,-2.90%
23-Jan-23,89.86,87.57,92.98,87.55,691.22K,2.62%
22-Jan-23,87.57,87.87,90.02,86.61,501.90K,-0.43%
21-Jan-23,87.95,90.32,91.49,87.87,720.86K,-2.62%
20-Jan-23,90.32,84.2,91.04,83.01,757.42K,7.23%
19-Jan-23,84.23,82.62,84.5,81.82,484.91K,1.95%
18-Jan-23,82.62,86.99,88.36,82.4,935.81K,-5.02%
17-Jan-23,86.99,85.91,88.93,84.74,740.82K,1.26%
16-Jan-23,85.91,87.4,89.09,84.53,750.06K,-1.70%
15-Jan-23,87.4,87.82,88.59,85.51,586.55K,-0.48%
14-Jan-23,87.82,86.26,90.91,85.93,1.75M,1.81%
13-Jan-23,86.26,86.12,87.78,83.64,891.19K,0.16%
12-Jan-23,86.12,84.02,86.13,82.36,1.43M,2.50%
11-Jan-23,84.02,80.83,84.96,79.9,968.49K,3.95%
10-Jan-23,80.83,81.63,82.84,79.53,848.09K,-0.98%
9-Jan-23,81.63,78.48,83.41,78.16,1.18M,4.01%
8-Jan-23,78.48,76.34,78.48,75.28,625.89K,2.80%
7-Jan-23,76.34,75.93,76.67,75.55,388.94K,0.54%
6-Jan-23,75.93,74.24,76.45,72.78,797.96K,2.28%
5-Jan-23,74.24,75.41,76.26,73.71,562.35K,-1.55%
4-Jan-23,75.41,75.57,77.84,74.5,772.65K,-0.21%
3-Jan-23,75.57,74.74,76.33,73.72,725.82K,1.07%
2-Jan-23,74.77,70.91,76.55,70.08,1.06M,5.44%
1-Jan-23,70.91,70.08,71.43,69.05,497.86K,1.18%
31-Dec-22,70.08,67.94,71.03,67.62,563.95K,3.15%
30-Dec-22,67.94,66.66,68.44,66.09,476.53K,1.92%
29-Dec-22,66.66,66.32,67.24,65.58,498.34K,0.51%
28-Dec-22,66.32,68.68,69.45,65.73,693.14K,-3.44%
27-Dec-22,68.68,70.77,71.02,67.81,688.64K,-2.95%
26-Dec-22,70.77,69.17,70.93,68.63,725.15K,2.31%
25-Dec-22,69.17,65.76,69.6,65.39,561.70K,5.19%
24-Dec-22,65.76,65.74,66.05,65.07,218.83K,0.03%
23-Dec-22,65.74,66.2,66.66,65,387.54K,-0.69%
