Date,Price,Open,High,Low,Vol.,Change %
22-Dec-22,66.2,65.43,66.7,64.34,505.76K,1.18%
21-Dec-22,65.43,65.62,66.78,64.73,573.30K,-0.29%
20-Dec-22,65.62,63.4,66.01,63.11,849.77K,3.50%
19-Dec-22,63.4,64.39,64.93,61.09,866.19K,-1.54%
18-Dec-22,64.39,64.89,65.74,63.17,639.11K,-0.77%
17-Dec-22,64.89,66.28,67.59,62.83,1.34M,-2.10%
16-Dec-22,66.28,72.37,73.53,65.07,1.16M,-8.42%
15-Dec-22,72.37,75.29,75.44,71.9,600.38K,-3.88%
14-Dec-22,75.29,77.39,79.08,74.43,911.55K,-2.71%
13-Dec-22,77.39,76.22,79.76,74.36,1.02M,1.56%
12-Dec-22,76.2,76.55,76.69,73.6,656.12K,-0.46%
11-Dec-22,76.55,76.36,78.36,76.29,348.16K,0.24%
10-Dec-22,76.37,76.31,77.4,75.76,301.24K,0.08%
9-Dec-22,76.31,78.28,78.77,75.94,622.25K,-2.52%
8-Dec-22,78.28,76.85,78.72,74.57,911.78K,1.86%
7-Dec-22,76.85,79.9,80.38,75.99,864.81K,-3.82%
6-Dec-22,79.9,80.18,81.68,77.8,802.74K,-0.35%
5-Dec-22,80.18,77.13,83.98,76.86,1.70M,3.95%
4-Dec-22,77.13,76.47,77.45,75.8,391.30K,0.86%
3-Dec-22,76.47,77.98,78.03,75.44,432.65K,-1.94%
2-Dec-22,77.98,77.56,78.06,75.47,581.98K,0.54%
1-Dec-22,77.56,79.15,80.52,76.33,968.38K,-2.01%
30-Nov-22,79.15,75.77,80.52,75.56,1.11M,4.46%
29-Nov-22,75.77,73.97,77.62,73.53,1.21M,2.53%
28-Nov-22,73.9,74.92,75.31,70.61,1.47M,-1.36%
27-Nov-22,74.92,76.46,79.23,74.43,994.97K,-2.01%
26-Nov-22,76.46,73.95,79.5,73.91,1.27M,3.39%
25-Nov-22,73.95,78.7,79.15,73.37,1.55M,-6.04%
24-Nov-22,78.7,78.99,79.45,75.48,1.70M,-0.37%
23-Nov-22,78.99,70.61,81.91,69.66,3.06M,11.87%
22-Nov-22,70.61,61.34,71.11,61.22,2.21M,15.11%
21-Nov-22,61.34,62.12,63.41,59.58,1.22M,-1.22%
20-Nov-22,62.1,63.96,64.63,60.49,739.56K,-2.91%
19-Nov-22,63.96,63.61,64.4,62.6,585.82K,2.62%
18-Nov-22,62.33,62.19,63.82,61.63,850.90K,0.14%
17-Nov-22,62.24,56.92,63.23,56.92,1.09M,9.35%
16-Nov-22,56.92,58.05,60.16,56.82,697.99K,-1.95%
15-Nov-22,58.05,56.62,59.52,56.5,786.14K,2.53%
14-Nov-22,56.62,57.36,59.17,53.61,1.46M,-1.29%
13-Nov-22,57.36,59.85,60.29,56.47,585.96K,-4.16%
12-Nov-22,59.85,61.45,61.69,58.29,768.92K,-2.60%
11-Nov-22,61.45,60.48,64.21,58.58,1.92M,1.60%
10-Nov-22,60.48,50.62,61.22,50.08,2.07M,19.48%
9-Nov-22,50.62,57.82,59.73,48,2.10M,-12.45%
8-Nov-22,57.82,67.39,68.59,54.33,2.19M,-14.20%
7-Nov-22,67.39,68.26,72.94,66.38,1.39M,-1.27%
6-Nov-22,68.26,69.29,70.68,67.63,804.87K,-1.63%
5-Nov-22,69.39,67.57,71.72,67.11,1.11M,2.69%
4-Nov-22,67.57,61.87,70.21,61.69,1.44M,9.21%
3-Nov-22,61.87,60.86,64.54,60.17,1.38M,1.66%
2-Nov-22,60.86,55.1,62.37,54.71,2.10M,10.41%
1-Nov-22,55.12,55.04,55.9,54.52,350.51K,0.15%
31-Oct-22,55.04,55.35,56.4,54.07,474.61K,-0.56%
30-Oct-22,55.35,56.62,57.47,54.73,375.73K,-2.24%
29-Oct-22,56.62,54.92,57.48,54.7,551.72K,3.10%
28-Oct-22,54.92,54.73,55.47,53.54,434.33K,0.35%
27-Oct-22,54.73,56.4,56.65,54.55,429.44K,-2.96%
26-Oct-22,56.4,55.88,57.56,55.7,516.75K,0.93%
25-Oct-22,55.88,52.54,56.8,52.28,560.30K,6.36%
24-Oct-22,52.54,54.03,54.2,52.11,349.61K,-2.76%
23-Oct-22,54.03,52.18,54.03,51.83,251.14K,3.55%
22-Oct-22,52.18,51.6,52.47,51.37,187.50K,1.12%
21-Oct-22,51.6,51.22,51.8,49.7,305.42K,0.74%
20-Oct-22,51.22,50.96,52.03,50.58,271.49K,0.51%
19-Oct-22,50.96,51.88,52,50.81,232.71K,-1.77%
18-Oct-22,51.88,51.82,52.17,50.75,267.16K,0.12%
17-Oct-22,51.82,51.41,52.13,51.07,219.44K,0.80%
16-Oct-22,51.41,50.39,51.78,50.33,230.96K,2.02%
15-Oct-22,50.39,51.31,51.66,50.32,230.31K,-1.79%
14-Oct-22,51.31,51.12,52.57,50.92,320.86K,0.37%
13-Oct-22,51.12,52.23,52.5,48.39,598.84K,-2.13%
12-Oct-22,52.23,52.02,52.94,51.69,355.75K,0.40%
11-Oct-22,52.02,52.6,52.6,51.36,325.90K,-1.10%
10-Oct-22,52.6,53.89,54.45,52.5,392.71K,-2.47%
9-Oct-22,53.93,52.79,53.98,52.7,197.64K,2.16%
8-Oct-22,52.79,52.83,53.53,52.43,244.83K,-0.08%
7-Oct-22,52.83,53.53,53.84,52.32,353.96K,-1.25%
6-Oct-22,53.5,54.62,55.05,53.37,389.63K,-2.05%
5-Oct-22,54.62,55.27,55.28,53.36,340.56K,-1.18%
4-Oct-22,55.27,54.17,55.69,53.89,379.54K,2.03%
3-Oct-22,54.17,51.81,54.32,51.63,377.55K,4.64%
2-Oct-22,51.77,52.91,53.45,51.7,245.70K,-2.17%
1-Oct-22,52.92,53.49,53.82,52.53,228.14K,-1.07%
30-Sep-22,53.49,53.96,55.07,52.87,417.56K,-0.87%
29-Sep-22,53.96,53.3,54.12,52.31,415.48K,1.28%
28-Sep-22,53.28,52.65,53.79,51.1,487.00K,1.20%
27-Sep-22,52.65,53.43,55.46,51.89,594.09K,-1.46%
26-Sep-22,53.43,52.52,53.72,51.91,462.57K,1.73%
25-Sep-22,52.52,53.43,54.39,52.29,388.52K,-1.70%
24-Sep-22,53.43,55.29,55.8,53.21,477.66K,-3.36%
23-Sep-22,55.29,53.55,55.32,51.54,626.03K,3.25%
22-Sep-22,53.55,51.14,54.06,50.65,617.84K,4.71%
21-Sep-22,51.14,52.3,55.49,50.27,948.41K,-2.22%
20-Sep-22,52.3,52.91,53.68,50.88,740.01K,-1.12%
19-Sep-22,52.89,52.63,53.7,50.17,1.19M,0.49%
18-Sep-22,52.63,57.82,57.83,52.54,524.25K,-8.98%
17-Sep-22,57.82,55.95,58.39,55.81,314.15K,3.34%
16-Sep-22,55.95,56.33,56.9,54.66,469.34K,-0.67%
15-Sep-22,56.33,60.11,60.81,55.87,696.71K,-6.40%
14-Sep-22,60.18,59.1,61.1,58.3,753.42K,1.83%
13-Sep-22,59.1,61.38,67.38,58.34,1.44M,-3.70%
12-Sep-22,61.37,62.21,63.19,60.13,493.54K,-1.35%
11-Sep-22,62.21,63.28,64.41,61.46,491.81K,-1.69%
10-Sep-22,63.28,61.15,64.62,60.56,643.93K,3.48%
9-Sep-22,61.15,57.96,61.92,57.71,640.02K,5.56%
8-Sep-22,57.93,57.3,58.56,56.1,526.70K,1.10%
7-Sep-22,57.3,54.1,58.29,53,791.16K,5.91%
6-Sep-22,54.1,60.35,62.65,54.06,893.87K,-10.36%
5-Sep-22,60.35,60.9,61.57,59.34,550.15K,-0.90%
4-Sep-22,60.9,60.14,60.99,58.62,416.65K,1.26%
3-Sep-22,60.14,61,62.11,59.56,604.65K,-1.41%
2-Sep-22,61,57.55,62.19,56.54,970.97K,5.99%
1-Sep-22,57.55,53.84,57.77,53.24,746.47K,6.95%
31-Aug-22,53.81,52.96,55.24,52.96,440.99K,1.60%
30-Aug-22,52.96,55.8,56.15,51.88,505.56K,-5.09%
29-Aug-22,55.8,53.38,56.69,52.59,635.79K,4.53%
28-Aug-22,53.38,52.99,55.78,52.48,571.90K,0.74%
27-Aug-22,52.99,52.68,53.39,51.83,342.67K,0.61%
26-Aug-22,52.67,56.63,58.21,52.11,663.98K,-6.99%
25-Aug-22,56.63,56.37,57.49,55.83,379.38K,0.46%
24-Aug-22,56.37,57.08,57.5,55.57,437.07K,-1.24%
23-Aug-22,57.08,57.24,57.68,53.96,562.17K,-0.28%
22-Aug-22,57.24,55.66,57.4,52.32,879.86K,3.17%
21-Aug-22,55.48,54.09,55.98,53.82,376.91K,2.57%
20-Aug-22,54.09,53.99,55.6,52.67,651.73K,0.11%
19-Aug-22,54.03,60.02,60.19,53.36,808.14K,-9.93%
18-Aug-22,59.99,60.52,61.66,59.41,421.14K,-0.84%
17-Aug-22,60.5,61.29,64.69,59.76,718.34K,-1.29%
16-Aug-22,61.29,60.69,61.71,60.04,367.32K,0.99%
15-Aug-22,60.69,63.13,65.31,59.68,521.28K,-3.87%
14-Aug-22,63.13,63.8,65.81,62.49,453.02K,-1.05%
13-Aug-22,63.8,62.89,65.61,62.65,502.53K,1.45%
12-Aug-22,62.89,61.84,63.06,60.71,361.48K,1.70%
11-Aug-22,61.84,61.6,63.35,61.49,451.63K,0.39%
10-Aug-22,61.6,59.17,62.26,57.75,683.59K,4.11%
9-Aug-22,59.17,62.63,62.85,58.32,467.96K,-5.52%
8-Aug-22,62.63,61.11,64.08,60.81,403.94K,2.49%
7-Aug-22,61.11,60.83,62,59.92,242.43K,0.49%
6-Aug-22,60.81,62.48,62.5,60.59,221.94K,-2.67%
5-Aug-22,62.48,59.67,62.54,59.64,488.08K,4.71%
4-Aug-22,59.67,57.75,60.56,57.62,438.23K,3.32%
3-Aug-22,57.75,58.08,60.12,56.71,497.78K,-0.57%
2-Aug-22,58.08,59.47,59.81,56.66,499.49K,-2.34%
1-Aug-22,59.47,59.77,60.67,58.28,413.42K,-0.50%
31-Jul-22,59.77,60.44,62.96,59.67,363.16K,-1.04%
30-Jul-22,60.4,60.62,64.05,59.98,571.52K,-0.36%
29-Jul-22,60.62,63.41,64.55,59.77,597.98K,-4.49%
28-Jul-22,63.47,59,64.17,58.18,793.60K,7.58%
27-Jul-22,59,53.88,59.04,53.02,536.65K,9.42%
26-Jul-22,53.92,54,54.12,52.02,421.93K,-0.15%
25-Jul-22,54,58.39,58.91,54,479.13K,-7.52%
24-Jul-22,58.39,56.35,59.73,56.32,353.09K,3.62%
23-Jul-22,56.35,56.02,57.2,54.51,360.05K,0.59%
22-Jul-22,56.02,58.04,59.16,55.55,504.39K,-3.48%
21-Jul-22,58.04,57.17,58.62,55.23,495.19K,1.52%
20-Jul-22,57.17,57.93,61.66,56.45,823.63K,-1.31%
19-Jul-22,57.93,58.64,59.47,55.86,648.94K,-1.21%
18-Jul-22,58.64,55.7,59.3,55.36,704.58K,5.28%
17-Jul-22,55.7,55.09,57.01,54.47,488.42K,1.11%
16-Jul-22,55.09,51.77,55.46,51.13,437.14K,6.41%
15-Jul-22,51.77,51.29,52.74,50.67,544.24K,0.94%
